TITLE,PX,PY,DEPTH_TYPE,DEPTH_FLAT,Mglob,Nglob,TOTAL_TIME,PLOT_INTV,PLOT_INTV_STATION,SCREEN_INTV,DX,DY,WAVEMAKER,Tperiod,Xc_WK,AMP_WK,DEP_WK,Yc_WK,Theta_WK,Delta_WK,PERIODIC,DIFFUSION_SPONGE,FRICTION_SPONGE,DIRECT_SPONGE,Csp,Sponge_south_width,Sponge_north_width,Sponge_west_width,Sponge_east_width,Cd,CFL,FroudeCap,MinDepth,VISCOSITY_BREAKING,Cbrk1,Cbrk2,FIELD_IO_TYPE,DEPTH_OUT,ETA,MASK,U,V,STATIONS_FILE,NumberStations,PI_1,PI_2,PI_3,PI_4,PI_5,THORN_1,EPSILON,TAU_1,k,L,kh,failed_checks,COMBO_NUM
DYNAMIC,32,1,FLAT,20.0,5451,3,300.0,1.0,0.1,25.0,0.12490479933853202,0.12490479933853202,WK_REG,2.0,31.226199834633004,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,1.0060758818642574,6.245239966926601,20.121517637285148,filter_kh,407
DYNAMIC,32,1,FLAT,20.0,3816,3,300.0,1.0,0.1,25.0,0.1784354276264743,0.1784354276264743,WK_REG,2.0,31.226199834633004,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,24.980959867706403,24.980959867706403,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,1.0060758818642574,6.245239966926601,20.121517637285148,filter_kh,408
DYNAMIC,32,1,FLAT,20.0,9265,3,450.0,1.0,0.1,25.0,0.16531516995039355,0.16531516995039355,WK_REG,3.0,70.25894722891726,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.20715778313381,56.20715778313381,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.4471448516519719,14.051789445783452,8.942897033039438,filter_kh,409
DYNAMIC,32,1,FLAT,20.0,5450,3,450.0,1.0,0.1,25.0,0.28103578891566905,0.28103578891566905,WK_REG,3.0,70.25894722891726,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.20715778313381,56.20715778313381,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.4471448516519719,14.051789445783452,8.942897033039438,filter_kh,410
DYNAMIC,32,1,FLAT,20.0,3815,3,450.0,1.0,0.1,25.0,0.40147969845095577,0.40147969845095577,WK_REG,3.0,70.25894722891726,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,56.20715778313381,56.20715778313381,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.4471448516519719,14.051789445783452,8.942897033039438,filter_kh,411
DYNAMIC,32,1,FLAT,20.0,9266,3,600.0,1.0,0.1,25.0,0.29386855573864057,0.29386855573864057,WK_REG,4.0,124.89413618892226,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.9153089511378,99.9153089511378,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.2515404445279668,24.97882723778445,5.030808890559336,filter_kh,412
DYNAMIC,32,1,FLAT,20.0,5450,3,600.0,1.0,0.1,25.0,0.499576544755689,0.499576544755689,WK_REG,4.0,124.89413618892226,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.9153089511378,99.9153089511378,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.2515404445279668,24.97882723778445,5.030808890559336,filter_kh,413
DYNAMIC,32,1,FLAT,20.0,3816,3,600.0,1.0,0.1,25.0,0.7136807782224128,0.7136807782224128,WK_REG,4.0,124.89413618892226,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,99.9153089511378,99.9153089511378,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.2515404445279668,24.97882723778445,5.030808890559336,filter_kh,414
DYNAMIC,32,1,FLAT,20.0,9266,3,750.0,1.0,0.1,25.0,0.4577726214957839,0.4577726214957839,WK_REG,5.0,194.55336413570816,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,155.64269130856653,155.64269130856653,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,85.0,0.05,150,0.16147716938980383,38.91067282714163,3.2295433877960766,filter_kh,415
DYNAMIC,32,1,FLAT,20.0,5451,3,750.0,1.0,0.1,25.0,0.7782134565428326,0.7782134565428326,WK_REG,5.0,194.55336413570816,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,155.64269130856653,155.64269130856653,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,50.0,0.05,150,0.16147716938980383,38.91067282714163,3.2295433877960766,filter_kh,416
DYNAMIC,32,1,FLAT,20.0,3816,3,750.0,1.0,0.1,25.0,1.1117335093469038,1.1117335093469038,WK_REG,5.0,194.55336413570816,1.0,20.0,0.0,0.0,3.0,F,F,T,T,0.0,0.0,0.0,155.64269130856653,155.64269130856653,0.0,0.5,3.0,0.05,T,0.65,0.35,BINARY,T,T,T,F,F,DYNAMIC,50,4,1.0,50.0,50.0,4,35.0,0.05,150,0.16147716938980383,38.91067282714163,3.2295433877960766,filter_kh,417
